#,Ejercicio,Trimestre,Proveedor,"Clave única",Fecha,"Monto total"
179,2019,abril-junio,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",252,2019-04-30,"$ 509,600.22"
180,2019,abril-junio,"La Ventana del Juicio.mx",253,2019-04-23,"$ 86,400.00"
181,2019,abril-junio,"Consultores en Comunicación y Medios Masivos, S.A. de C.V.",255,2019-06-10,"$ 211,700.00"
182,2019,abril-junio,"La Ventana del Juicio.mx","255,",2019-06-04,"$ 24,480.00"
183,2019,abril-junio,"Analistas del Florido, S.A. de C.V.",27,2019-04-17,"$ 120,000.00"
184,2019,abril-junio,"Periodismo Referente, S. de R.L. de C.V.",272,2019-04-30,"$ 210,000.00"
185,2019,abril-junio,"Periodismo Referente, S. de R.L. de C.V.",279,2019-06-12,"$ 100,000.00"
186,2019,abril-junio,"Analistas del Florido, S.A. de C.V.",29,2019-05-17,"$ 40,000.00"
187,2019,abril-junio,www.lajiribilla.com.mx,3,2019-04-29,"$ 80,000.00"
188,2019,abril-junio,www.elpuntero.com.mx,30,2019-04-29,"$ 130,000.00"
189,2019,abril-junio,"El Pueblo Familiar, S.A. de C.V.",303,2019-04-16,"$ 120,000.00"
190,2019,abril-junio,"El Pueblo Familiar, S.A. de C.V.",304,2019-04-17,"$ 96,000.00"
191,2019,abril-junio,"Nueva Línea Comunicación, S.C.",308,2019-04-24,"$ 120,248.15"
192,2019,abril-junio,"El Pueblo Familiar, S.A. de C.V.",310,2019-05-20,"$ 64,000.00"
193,2019,abril-junio,"ASERTO RADIO",310-1*,2019-05-06,"$ 67,999.00"
194,2019,abril-junio,"El Pueblo Familiar, S.A. de C.V.",311,2019-05-20,"$ 60,000.00"
195,2019,abril-junio,"ASERTO RADIO",312,2019-06-21,"$ 31,959.53"
196,2019,abril-junio,"Nueva Línea Comunicación, S.C.",313,2019-05-29,"$ 50,049.23"
197,2019,abril-junio,www.elpuntero.com.mx,32,2019-05-06,"$ 60,000.00"
198,2019,abril-junio,"Jessica Arely Medina Valerio",36C6,2019-04-22,"$ 90,000.00"
199,2019,abril-junio,"Radioflash del Norte, S.A. de C.V.",392,2019-04-17,"$ 511,560.00"
200,2019,abril-junio,"Radioflash del Norte, S.A. de C.V.",397,2019-05-02,"$ 208,034.00"
201,2019,abril-junio,"Programa CONTRASTE",40,2019-05-20,"$ 89,998.20"
202,2019,abril-junio,www.todoespolitica.com.mx,4089,2019-04-17,"$ 191,499.99"
203,2019,abril-junio,"Merboca, S.A. de C.V.",418,2019-04-30,"$ 116,000.00"
204,2019,abril-junio,"Merboca, S.A. de C.V.",432,2019-06-10,"$ 116,000.00"
205,2019,abril-junio,"Programa CONTRASTE",49,2019-06-17,"$ 21,998.24"
206,2019,abril-junio,"NN NUESTRAS NOTICIAS",5de4,2019-04-17,"$ 131,431.20"
207,2019,abril-junio,www.lajiribilla.com.mx,6,2019-06-28,"$ 40,000.00"
208,2019,abril-junio,WWW.ADRIANARUIZ.COM.MX,663C,2019-05-21,"$ 35,999.91"
209,2019,abril-junio,"Unidad Corporativa de Televisión, S.A. de C.V.",7,2019-05-17,"$ 515,475.00"
210,2019,abril-junio,"Antena 102.5",7224,2019-04-23,"$ 284,200.00"
211,2019,abril-junio,"NOTICIERO CHIHUAHUA DIGITAL",8742,2019-05-27,"$ 66,671.00"
212,2019,abril-junio,"Antena 102.5",87D8,2019-05-02,"$ 115,304.00"
213,2019,abril-junio,WWW.PAUSA.MX,8814,2019-05-22,"$ 20,500.00"
214,2019,abril-junio,alinstante.com.mx,94BC,2019-04-17,"$ 128,000.00"
215,2019,abril-junio,WWW.PAUSA.MX,9BE5,2019-04-16,"$ 37,000.00"
216,2019,abril-junio,"Radio Impulsora X.E.E., S.A","A 2235",2019-04-17,"$ 326,424.00"
217,2019,abril-junio,"Radio Impulsora X.E.E., S.A","A 2239",2019-05-03,"$ 273,263.52"
218,2019,abril-junio,"""Plan de vuelo"", Radio 102.5 FM","A 54",2019-05-19,"$ 120,000.00"
219,2019,abril-junio,"""Plan de vuelo"", Radio 102.5 FM","A 58",2019-06-03,"$ 47,400.00"
220,2019,abril-junio,"Imprenta Siglo XXV, S.A. de C.V.","A 808",2019-04-22,"$ 1,327,500.00"
221,2019,abril-junio,"Imprenta Siglo XXV, S.A. de C.V.","A 817",2019-05-29,"$ 1,003,000.00"
222,2019,abril-junio,"Comercializadora Imation, S.A. de C.V.",A-150,2019-05-07,"$ 548,100.00"
223,2019,abril-junio,"Comercializadora Imation, S.A. de C.V.",A-189,2019-06-04,"$ 243,600.00"
224,2019,abril-junio,"Radio Juarense, S.A. de C.V.",A-4334,2019-04-29,"$ 60,000.00"
225,2019,abril-junio,"Radio Juarense, S.A. de C.V.",A-4409,2019-06-10,"$ 60,000.00"
226,2019,abril-junio,"Omnia Comunicaciones, S. de R.L. de C.V.",A522,2019-04-29,"$ 100,000.00"
227,2019,abril-junio,"Omnia Comunicaciones, S. de R.L. de C.V.",A533,2019-05-20,"$ 40,000.00"
228,2019,abril-junio,"Periódicos Digitales de Chihuahua, S.A. de C.V.",AB9E,2019-06-19,"$ 23,999.97"
229,2019,abril-junio,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",APAB000011430,2019-04-30,"$ 1,597,857.16"
230,2019,abril-junio,"Cia. Periodística El Sol de Chihuahua, S.A. de C.V.",APAB000011464,2019-06-28,"$ 3,728,062.35"
231,2019,abril-junio,"Grupo Grg Efectimedios, S.A. de C.V.","B 389",2019-04-30,"$ 1,344,000.00"
232,2019,abril-junio,"Grupo Grg Efectimedios, S.A. de C.V.","B 391",2019-05-21,"$ 576,000.00"
233,2019,abril-junio,"SUEÑOS y REALIDADES",B14,2019-04-30,"$ 33,600.00"
234,2019,abril-junio,"SUEÑOS y REALIDADES",B15,2019-06-07,"$ 10,080.00"
235,2019,abril-junio,alcontacto.com.mx,C138,2019-04-17,"$ 120,000.00"
236,2019,abril-junio,"Periódicos Digitales de Chihuahua, S.A. de C.V.",CA50,2019-05-29,"$ 71,999.91"
237,2019,abril-junio,"Cabafam, S.A. de C.V.","CAB - 14",2019-05-06,"$ 1,113,600.00"
238,2019,abril-junio,"Cabafam, S.A. de C.V.","CAB - 17",2019-06-03,"$ 485,460.00"
239,2019,abril-junio,"Comunicaciones Chihua, S.A. de C.V.","CCH 2655",2019-04-16,"$ 387,988.37"
240,2019,abril-junio,"Comunicaciones Chihua, S.A. de C.V.","CCH 2672",2019-05-03,"$ 251,944.01"
241,2019,abril-junio,"NN NUESTRAS NOTICIAS",d152,2019-05-16,"$ 49,286.70"
242,2019,abril-junio,www.noticiaschihuahua.mx,D94A,2019-04-17,"$ 168,000.00"
243,2019,abril-junio,"NOTICIERO CHIHUAHUA DIGITAL",DC68,2019-04-16,"$ 156,332.00"
244,2019,abril-junio,WWW.ADRIANARUIZ.COM.MX,F1EE,2019-04-16,"$ 83,979.00"
245,2019,abril-junio,alcontacto.com.mx,F86F,2019-05-21,"$ 40,000.00"
246,2019,abril-junio,www.todoespolitica.com.mx,FAB8,2019-04-17,"$ 62,500.00"
247,2019,abril-junio,"Televisora de Occidente, S.A. de C.V.",GF-33737,2019-06-10,"$ 2,226,330.00"
248,2019,abril-junio,"Imagen Radio Comercial, S.A. de C.V.","IRCRF 118",2019-05-22,"$ 202,710.00"
249,2019,abril-junio,"Imagen Radio Comercial, S.A. de C.V.","IRCRF 98",2019-04-23,"$ 522,000.00"
250,2019,abril-junio,"Multimedios, S.A. de C.V.","MYA 73790",2019-05-16,"$ 819,366.00"
251,2019,abril-junio,"Multimedios, S.A. de C.V.","MYA 74255",2019-06-03,"$ 340,277.68"
252,2019,abril-junio,"Publicaciones del Chuviscar, S.A. de C.V.","PDCR / 55666",2019-06-03,"$ 400,000.00"
253,2019,abril-junio,"Radio Lobo, S.A. de C.V.","RL 8231",2019-04-16,"$ 395,906.50"
254,2019,abril-junio,"Radio Lobo, S.A. de C.V.","RL 8235",2019-05-03,"$ 273,539.21"
255,2019,abril-junio,"Radio América de México, S.A. de C.V.","SIN NUMERO",2019-06-30,"$ 279,629.60"
256,2019,abril-junio,"Comercializadora Tosgon, S.A. de C.V.",TOSCHI-607,2019-05-21,"$ 167,040.00"
257,2019,abril-junio,"Comercializadora Tosgon, S.A. de C.V.",TOSCHI-625,2019-06-11,"$ 72,662.40"
258,2019,julio-septiembre,"Porlalibre, S.A. de C.V.",-13,2019-08-27,"$ 135,000.09"
259,2019,julio-septiembre,"NOTICIERO CHIHUAHUA DIGITAL",0143,2019-09-03,"$ 138,000.00"
